issue_id,previous_month,current_month,issue_change_pp,issue_severity,seller_id,seller_state,previous_eligible_orders,current_eligible_orders,previous_on_time_rate_pct,current_on_time_rate_pct,on_time_change_pp,current_late_orders,excess_late_orders,average_handling_days_change,average_delivery_days_change,average_review_score_change
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,4a3ca9315b744ce9f8e9374361493884,SP,107,165,90.65,67.27,-23.38,54,38.58,1.14,7.61,-0.52
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,1025f0e2d44d7041d6cf58b6550e0bfa,SP,42,97,97.62,68.04,-29.58,31,28.69,4.78,5.96,-0.74
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,1f50f920176fa81dab994f9023523100,SP,101,266,91.09,81.95,-9.14,48,24.30,-0.19,3.66,-0.27
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,ea8482cd71df3c1969d7b9473ff13abc,SP,28,135,100.00,84.44,-15.56,21,21.00,0.80,6.55,-0.65
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,cc419e0650a3c5ba77189a1882b7556a,SP,125,197,96.80,86.29,-10.51,27,20.70,0.42,4.45,-0.20
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,7c67e1448b00f6e969d365cea6b010ab,SP,58,66,91.38,65.15,-26.23,23,17.31,1.52,6.53,-0.67
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,1835b56ce799e6a4dc4eddc053f04066,SP,23,43,100.00,60.47,-39.53,17,17.00,0.97,12.89,-0.87
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,4869f7a5dfa277a7dca6462dcf3b52b2,SP,64,84,92.19,73.81,-18.38,22,15.44,-0.15,5.13,-0.50
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,da8622b14eb17ae2831f4ac5b9dab84a,SP,51,100,98.04,86.00,-12.04,14,12.04,1.22,2.82,-0.26
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,46dc3b2cc0980fb8ec44634e21d2718e,RJ,69,102,100.00,88.24,-11.76,12,12.00,2.11,3.45,-0.62
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,3d871de0142ce09b7081e2b9d1733cb1,SP,64,111,98.44,88.29,-10.15,13,11.27,2.70,6.25,0.01
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,7d76b645482be4a332374e8223836592,SP,21,34,95.24,76.47,-18.77,8,6.38,2.61,7.74,-0.33
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,37515688008a7a40ac93e3b2e4ab203f,SP,37,47,94.59,82.98,-11.61,8,5.46,1.74,5.07,-0.53
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,897060da8b9a21f655304d50fd935913,SP,22,46,100.00,89.13,-10.87,5,5.00,1.01,5.42,0.59
delivery-2017-11,2017-10-01,2017-11-01,-9.02,High,7e93a43ef30c4f03f38b393420bc753a,SP,51,34,94.12,79.41,-14.71,7,5.00,3.11,5.30,-0.34
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,4869f7a5dfa277a7dca6462dcf3b52b2,SP,71,87,97.18,60.92,-36.26,34,31.55,0.17,10.12,-0.77
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,8b321bb669392f5163d04c59e235e066,SP,163,163,97.55,79.14,-18.41,34,30.00,0.88,6.50,-0.23
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,4a3ca9315b744ce9f8e9374361493884,SP,87,108,94.25,69.44,-24.81,33,26.79,-0.13,3.30,-0.52
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,cc419e0650a3c5ba77189a1882b7556a,SP,104,92,98.08,78.26,-19.82,20,18.23,0.58,6.49,-0.45
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,955fee9216a65b617aa5c0531780ce60,SP,229,84,97.38,77.38,-20.00,19,16.80,-0.48,3.45,-0.30
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,1f50f920176fa81dab994f9023523100,SP,97,125,94.85,84.00,-10.85,20,13.56,0.30,2.52,-0.51
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,1835b56ce799e6a4dc4eddc053f04066,SP,44,49,97.73,73.47,-24.26,13,11.89,1.21,8.26,-0.53
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,8e6d7754bc7e0f22c96d255ebda59eba,SP,36,27,100.00,62.96,-37.04,10,10.00,3.09,7.91,-0.68
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,897060da8b9a21f655304d50fd935913,SP,35,41,97.14,73.17,-23.97,11,9.83,1.45,7.13,-1.04
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,218d46b86c1881d022bce9c68a7d4b15,SP,42,54,97.62,79.63,-17.99,11,9.71,0.54,4.27,-0.44
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,de722cd6dad950a92b7d4f82673f8833,PE,32,68,100.00,88.24,-11.76,8,8.00,1.06,1.49,-0.28
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,92eb0f42c21942b6552362b9b114707d,SP,43,25,97.67,68.00,-29.67,8,7.42,1.47,4.60,-0.81
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,8160255418d5aaa7dbdc9f4c64ebda44,SP,36,44,88.89,72.73,-16.16,12,7.11,-0.22,4.32,-0.83
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,128639473a139ac0f3e5f5ade55873a5,PR,84,62,94.05,83.87,-10.18,10,6.31,-0.28,4.09,-0.27
delivery-2018-02,2018-01-01,2018-02-01,-9.43,High,391fc6631aebcf3004804e51b40bcf1e,SP,38,32,97.37,78.13,-19.24,7,6.16,-0.33,4.92,-0.77
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,620c87c171fb2a6dd6e8bb4dec959fc6,RJ,72,60,86.11,46.67,-39.44,32,23.67,-1.29,6.60,-1.02
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,ea8482cd71df3c1969d7b9473ff13abc,SP,134,160,88.81,76.25,-12.56,38,20.09,-0.73,0.36,-0.29
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,1f50f920176fa81dab994f9023523100,SP,125,84,84.00,63.10,-20.90,31,17.56,-0.41,2.98,-0.11
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,6560211a19b47992c3666cc44a7e94c0,SP,71,73,97.18,75.34,-21.84,18,15.94,-0.01,4.37,-0.49
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,fa1c13f2614d7b5c4749cbc52fecda94,SP,30,43,86.67,51.16,-35.51,21,15.27,-0.68,6.73,-0.63
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,f7ba60f8c3f99e7ee4042fdef03b70c4,SP,28,30,92.86,63.33,-29.53,11,8.86,0.21,7.70,-0.91
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,4d6d651bd7684af3fffabd5f08d12e5a,SP,39,49,97.44,81.63,-15.81,9,7.74,-2.50,-1.38,0.05
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,88460e8ebdecbfecb5f9601833981930,PR,63,27,65.08,37.04,-28.04,17,7.57,2.94,0.25,-0.43
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,7a67c85e85bb2ce8582c35f2203ad736,SP,73,58,89.04,77.59,-11.45,13,6.64,-0.42,-3.13,-0.36
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,da8622b14eb17ae2831f4ac5b9dab84a,SP,96,100,89.58,83.00,-6.58,17,6.58,-0.36,1.17,-0.36
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,e5a3438891c0bfdb9394643f95273d8e,SP,26,24,80.77,54.17,-26.60,11,6.38,-0.18,8.41,-0.51
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,7142540dd4c91e2237acb7e911c4eba2,SP,36,34,88.89,73.53,-15.36,9,5.22,0.68,-3.53,0.19
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,c826c40d7b19f62a09e2d7c5e7295ee2,SP,57,75,89.47,82.67,-6.80,13,5.11,-0.29,-0.62,-0.07
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,4c2b230173bb36f9b240f2b8ac11786e,SP,30,25,83.33,64.00,-19.33,9,4.83,-0.60,-1.24,-0.26
delivery-2018-03,2018-02-01,2018-03-01,-5.37,Moderate,218d46b86c1881d022bce9c68a7d4b15,SP,54,38,79.63,68.42,-11.21,12,4.26,0.02,2.14,-0.52
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,6560211a19b47992c3666cc44a7e94c0,SP,192,181,97.92,88.95,-8.97,20,16.23,0.02,-1.07,0.06
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,1025f0e2d44d7041d6cf58b6550e0bfa,SP,100,96,100.00,85.42,-14.58,14,14.00,2.03,1.92,-0.41
delivery-2018-08,2018-07-01,2018-08-01,-5.91,Moderate,16090f2ca825584b5a147ab24aa30c86,SP,65,40,93.85,67.50,-26.35,13,10.54,0.33,-0.77,-0.19
